Rank,Domain,Domain_URL,IP_Address,IP_Address_URL,Location,Owner,Owner_URL,Last_Update,Source_URL,Scraped_At,Unique_ID
No,Web Site,,Website IP Address,,Web Hosting Company / IP Owner,Web Hosting / Server IP Location,,Web Hosting City,https://myip.ms/browse/sites/801/rankii/15000000/ipID/23.227.38.0/ipIDii/23.227.38.255,2025-10-18T12:47:04.879Z,No-Web-Site
40001,dunnfurniture.com.au,https://myip.ms/view/sites/20784433/dunnfurniture.com.au,23.227.38.32,https://myip.ms/info/whois/23.227.38.32,"Shopify, Inc",Canada,https://myip.ms/view/best_hosting/CAN/Best_Hosting_in_Canada.html,,https://myip.ms/browse/sites/801/rankii/15000000/ipID/23.227.38.0/ipIDii/23.227.38.255,2025-10-18T12:47:04.879Z,40001-dunnfurniture.com.au
40002,sonicwallshop.com,https://myip.ms/view/sites/18163102/sonicwallshop.com,23.227.38.32,https://myip.ms/info/whois/23.227.38.32,"Shopify, Inc",Canada,https://myip.ms/view/best_hosting/CAN/Best_Hosting_in_Canada.html,,https://myip.ms/browse/sites/801/rankii/15000000/ipID/23.227.38.0/ipIDii/23.227.38.255,2025-10-18T12:47:04.879Z,40002-sonicwallshop.com
40003,sonomalavender.com,https://myip.ms/view/sites/19103078/sonomalavender.com,23.227.38.65,https://myip.ms/info/whois/23.227.38.65,"Shopify, Inc",Canada,https://myip.ms/view/best_hosting/CAN/Best_Hosting_in_Canada.html,,https://myip.ms/browse/sites/801/rankii/15000000/ipID/23.227.38.0/ipIDii/23.227.38.255,2025-10-18T12:47:04.879Z,40003-sonomalavender.com
40004,13stripes.co,https://myip.ms/view/sites/9936127/13stripes.co,23.227.38.36,https://myip.ms/info/whois/23.227.38.36,"Shopify, Inc",Canada,https://myip.ms/view/best_hosting/CAN/Best_Hosting_in_Canada.html,,https://myip.ms/browse/sites/801/rankii/15000000/ipID/23.227.38.0/ipIDii/23.227.38.255,2025-10-18T12:47:04.879Z,40004-13stripes.co
40005,feyru.com,https://myip.ms/view/sites/19775673/feyru.com,23.227.38.32,https://myip.ms/info/whois/23.227.38.32,"Shopify, Inc",Canada,https://myip.ms/view/best_hosting/CAN/Best_Hosting_in_Canada.html,,https://myip.ms/browse/sites/801/rankii/15000000/ipID/23.227.38.0/ipIDii/23.227.38.255,2025-10-18T12:47:04.879Z,40005-feyru.com
40006,thepoweroutlet.co.uk,https://myip.ms/view/sites/22674589/thepoweroutlet.co.uk,23.227.38.65,https://myip.ms/info/whois/23.227.38.65,"Shopify, Inc",Canada,https://myip.ms/view/best_hosting/CAN/Best_Hosting_in_Canada.html,,https://myip.ms/browse/sites/801/rankii/15000000/ipID/23.227.38.0/ipIDii/23.227.38.255,2025-10-18T12:47:04.879Z,40006-thepoweroutlet.co.uk
40007,soonmaternity.com,https://myip.ms/view/sites/457484/soonmaternity.com,23.227.38.65,https://myip.ms/info/whois/23.227.38.65,"Shopify, Inc",Canada,https://myip.ms/view/best_hosting/CAN/Best_Hosting_in_Canada.html,,https://myip.ms/browse/sites/801/rankii/15000000/ipID/23.227.38.0/ipIDii/23.227.38.255,2025-10-18T12:47:04.879Z,40007-soonmaternity.com
40008,livesozy.com,https://myip.ms/view/sites/16019861/livesozy.com,23.227.38.71,https://myip.ms/info/whois/23.227.38.71,"Shopify, Inc",Canada,https://myip.ms/view/best_hosting/CAN/Best_Hosting_in_Canada.html,,https://myip.ms/browse/sites/801/rankii/15000000/ipID/23.227.38.0/ipIDii/23.227.38.255,2025-10-18T12:47:04.879Z,40008-livesozy.com
40009,matchamatcha.co.nz,https://myip.ms/view/sites/15225617/matchamatcha.co.nz,23.227.38.32,https://myip.ms/info/whois/23.227.38.32,"Shopify, Inc",Canada,https://myip.ms/view/best_hosting/CAN/Best_Hosting_in_Canada.html,,https://myip.ms/browse/sites/801/rankii/15000000/ipID/23.227.38.0/ipIDii/23.227.38.255,2025-10-18T12:47:04.880Z,40009-matchamatcha.co.nz
